Date;Price;Open;High;Low;Vol.;Change %
03/01/2017;5.04;5.04;5.04;5.04;11.91K;-9.52%
02/01/2017;5.57;5.57;5.57;5.57;0.23K;-2.11%
01/01/2017;5.69;5.69;5.69;5.69;0.10K;-13.00%
12/01/2016;6.54;4.62;5.89;3.97;264.40K;42.79%
11/01/2016;4.58;5.97;6.52;4.35;37.99K;-22.37%
10/01/2016;5.90;5.22;5.93;5.22;0.03K;18.95%
09/01/2016;4.96;4.35;5.19;3.97;0.14K;11.21%
08/01/2016;4.46;4.56;4.87;4.49;1.23K;1.13%
07/01/2016;4.41;4.46;4.85;4.40;0.12K;-1.12%
06/01/2016;4.46;5.98;6.36;4.89;3.32K;-26.64%
05/01/2016;6.08;5.83;5.97;5.81;2.56K;-1.46%
04/01/2016;6.17;5.32;6.06;5.32;0.15K;18.65%
03/01/2016;5.20;4.96;5.20;4.61;9.22K;4.21%
02/01/2016;4.99;5.85;5.85;4.63;0.16K;-17.38%
01/01/2016;6.04;8.06;8.06;5.90;6.56K;-26.52%
12/01/2015;8.22;8.56;8.65;7.90;246.65K;-4.20%
11/01/2015;8.58;8.50;8.62;8.38;0.04K;-0.58%
10/01/2015;8.63;8.15;8.56;8.15;0.30K;6.15%
09/01/2015;8.13;7.99;8.27;7.90;4.70K;0.99%
08/01/2015;8.05;7.91;8.29;7.80;0.68K;2.55%
07/01/2015;7.85;7.47;8.04;7.33;0.53K;5.80%
06/01/2015;7.42;7.25;7.60;7.25;15.61K;1.37%
05/01/2015;7.32;7.55;7.68;7.17;2.56K;-0.95%
04/01/2015;7.39;7.03;7.50;6.80;5.63K;6.79%
03/01/2015;6.92;7.01;7.07;6.23;58.79K;-2.54%
02/01/2015;7.10;7.08;7.79;6.81;23.60K;0.28%
01/01/2015;7.08;6.92;7.34;6.63;25.24K;-2.34%
12/01/2014;7.25;7.03;7.26;6.45;265.77K;2.98%
11/01/2014;7.04;6.50;7.21;6.47;73.84K;11.04%
10/01/2014;6.34;5.78;6.31;5.50;7.85K;8.93%
09/01/2014;5.82;6.32;6.37;5.65;16.93K;-8.78%
08/01/2014;6.38;6.29;6.48;5.81;3.70K;3.07%
07/01/2014;6.19;5.99;6.22;5.53;7.37K;6.54%
