Date,Time,Price,Coal_price_EU,Ngas_price_EU,Oil_price_EU,HDD,CDD,ESI,IPI
2015-03-01,03/2015,6.92,59.75272190441041,7.630559143753459,51.4762871378483,373.41,0.0,103.0,144.5
2016-03-01,03/2016,5.2,47.03603603603603,3.5226849036936936,35.1981981981982,397.51,0.0,103.9,134.7
2017-03-01,03/2017,5.04,75.71361722040244,4.680341672007487,48.638277959756664,344.22,0.01,108.9,130.4
2018-03-01,03/2018,14.04,78.35603112840467,5.429140434792477,53.86673151750973,471.6,0.0,112.7,126.4
2019-03-01,03/2019,22.82,82.39249690320297,4.582140925614936,58.75951159086887,362.26,0.0,106.6,115.7
2020-03-01,03/2020,18.42,60.32721684895597,2.457623051387508,29.811081984995024,374.24,0.0,94.5,95.7
2021-03-01,03/2021,42.89,79.77140936213128,5.1492306743003615,54.7861164803765,400.65,0.0,103.2,105.3
2008-04-01,04/2008,23.88,78.09027998222335,7.739191162465875,69.95602010839312,269.77,0.11,100.4,231.0
2009-04-01,04/2009,13.92,48.18802122820319,6.451857467778621,38.548323044154664,238.27,0.0,69.9,165.9
2010-04-01,04/2010,15.84,74.70535581083098,5.609428614053408,63.38846145648964,258.45,0.02,98.5,189.7
2011-04-01,04/2011,16.7,84.82204680792134,7.173521672898491,85.21672898490513,205.41,0.03,102.1,177.1
2012-04-01,04/2012,7.48,78.70384440054703,8.676492934204528,91.5237046041635,286.18,0.0,92.0,176.9
2013-04-01,04/2013,3.07,67.37294641486258,9.887916474742823,78.97701101294335,280.07,0.06,88.0,169.9
2014-04-01,04/2014,5.4,52.72227048942948,7.768607008398495,78.04083405734144,227.88,0.02,99.60000000000001,156.1
2015-04-01,04/2015,7.39,52.175526486687076,6.28485542884312,55.09787549865479,256.99,0.0,103.0,136.3
2016-04-01,04/2016,6.17,44.70411852897081,3.5012568037657643,37.260781374018876,257.63,0.02,104.2,124.8
2017-04-01,04/2017,4.94,78.00988529329479,4.6730522412571105,49.407814977151915,286.56,0.01,109.9,124.5
2018-04-01,04/2018,14.6,76.31964809384164,5.643416587178234,58.34962528510915,203.52,0.02,113.1,121.8
2019-04-01,04/2019,27.43,77.21124755294537,4.379943779747286,63.35646912261969,252.28,0.0,104.9,109.6
2020-04-01,04/2020,20.39,53.90351684772601,1.9520518019885837,21.487755477812556,248.51,0.0,57.6,86.4
2021-04-01,04/2021,49.31,76.984723265715,5.966120951740546,54.069621838216875,305.9,0.03,105.6,103.1
2008-05-01,05/2008,26.1,85.62062094234106,7.957832486983351,79.6658677612586,137.5,0.69,99.2,205.5
2009-05-01,05/2009,14.65,47.252747252747255,5.926739926739927,42.447584161868136,123.67,1.77,74.10000000000001,177.3
2010-05-01,05/2010,15.02,79.68961400716276,5.78591325109431,60.68519887063271,159.63,0.64,97.4,196.2
2011-05-01,05/2011,16.69,83.0162380653704,7.178200571468395,79.76735787732942,128.65,0.57,101.8,177.2
2012-05-01,05/2012,6.27,74.93158182813356,9.101571663148018,86.41937534634452,134.05,1.93,90.2,180.1
2013-05-01,05/2013,3.91,67.56277923278385,9.466954244338314,79.36139001828685,143.0,0.44,88.60000000000001,173.4
2014-05-01,05/2014,5.05,53.66297698805709,7.427905621905039,79.87183221672008,153.05,0.28,99.4,159.5
2015-05-01,05/2015,7.32,54.87892376681614,5.994616422493273,57.90134529147982,145.6,1.49,102.9,131.3
2016-05-01,05/2016,6.08,45.36292105030501,3.827417438829458,41.6674034126072,129.05,0.22,104.0,128.0
2017-05-01,05/2017,5.35,67.29969253029482,4.5744582912552,46.00289383251945,139.71,1.5,109.6,115.6
2018-05-01,05/2018,16.16,89.13816457839485,6.338769096952252,64.89163562478835,84.64,0.67,111.5,125.3
2019-05-01,05/2019,25.45,73.59856951274027,3.8811401824318286,63.05766651765757,172.42,0.86,105.2,112.1
2020-05-01,05/2020,22.18,48.14712896716199,1.4448403760044028,28.453494771601537,161.06,2.33,62.0,101.7
2021-05-01,05/2021,52.24,88.1277786925737,7.334724950098798,56.018442285526106,173.15,0.63,110.2,102.0
2008-06-01,06/2008,28.77,102.71330289976211,8.120619816112647,85.54527835695365,56.59,13.09,95.0,204.0
2009-06-01,06/2009,13.15,50.92751141552511,5.672089041095891,48.95606320049943,69.47,11.48,76.60000000000001,183.3
2010-06-01,06/2010,15.19,80.42222950282577,6.339585551642231,61.29755247618969,65.67,9.63,97.3,184.3
2011-06-01,06/2011,13.36,83.46538782318599,7.130942452043369,79.06430864104114,44.0,10.31,101.2,174.5
2012-06-01,06/2012,8.2,69.60721698866358,9.172920325722497,76.31250807843686,67.23,18.99,89.8,169.5
2013-06-01,06/2013,4.18,62.744953720532266,9.037834559102283,78.17878535142923,53.52,12.45,90.0,166.1
2014-06-01,06/2014,5.81,52.5897586815774,7.188051795173632,82.3057680988817,63.52,8.14,99.10000000000001,156.6
2015-06-01,06/2015,7.42,52.58182466779631,5.94553280080264,55.59618300187283,66.84,11.16,102.8,139.0
2016-06-01,06/2016,4.46,47.06563362721525,4.2352128122628905,43.17392465936415,45.74,15.94,104.0,130.6
2017-06-01,06/2017,5.42,72.21480096179535,4.351916275385164,41.75794816991718,48.6,24.81,110.8,120.9
2018-06-01,06/2018,16.51,97.90203802020895,6.378611786299024,64.38602500428155,46.6,9.57,111.7,127.5
2019-06-01,06/2019,27.5,64.19020632250066,3.1771951760116885,56.05242185424599,35.51,25.75,103.2,110.7
2020-06-01,06/2020,27.68,46.38827187916482,1.5567935248156377,35.4775655264327,36.04,8.36,73.8,99.3
2021-06-01,06/2021,56.78,107.88578069228852,8.550718855847927,60.65410475637087,26.37,18.48,115.6,101.4
2008-07-01,07/2008,22.06,114.140773620799,9.112238427393786,84.89095971988586,24.31,23.78,91.9,208.4
2009-07-01,07/2009,13.66,52.38500851788756,4.734525837592277,46.07467348097671,22.36,29.8,79.5,183.0
2010-07-01,07/2010,14.08,75.1605324980423,6.29600626468285,58.52424005125294,12.24,46.64,99.4,188.5
2011-07-01,07/2011,12.11,84.65367358384745,7.704711160964667,81.64610207515423,24.09,23.59,99.5,183.8
2012-07-01,07/2012,6.88,71.80989583333333,9.057617187500002,83.9362866950765,25.92,41.82,88.3,164.8
2013-07-01,07/2013,4.31,59.06667494558869,8.868501529051986,82.35174843770642,18.16,31.92,90.8,164.9
2014-07-01,07/2014,6.19,50.77923037151931,6.846886771548858,79.01617549302016,11.44,20.74,99.0,153.8
2015-07-01,07/2015,7.85,54.47435431065843,6.087702014050564,50.80938523099309,31.4,55.64,102.9,138.8
2016-07-01,07/2016,4.41,55.32568434366248,4.223270115954468,40.717318637636644,16.7,36.13,103.9,122.1
2017-07-01,07/2017,5.73,76.00555989922682,4.347077432247416,42.298670836591086,27.61,34.74,111.6,121.4
2018-07-01,07/2018,19.34,102.31901420503165,6.502515172214616,63.7001540304638,8.18,31.21,111.1,125.7
2019-07-01,07/2019,29.38,64.2538776965591,3.2272877568283116,57.05116776609022,29.48,38.84,102.4,111.3
2020-07-01,07/2020,27.22,44.97949925848381,1.5711729010468463,37.34624443862863,30.96,35.25,82.7,95.9
2021-07-01,07/2021,53.69,128.5484689561834,10.58191713110303,62.92505498223651,10.92,39.38,117.8,101.6
2008-08-01,08/2008,25.19,105.7762938230384,9.776293823038397,76.02607520470784,39.65,28.71,89.4,203.3
2009-08-01,08/2009,14.89,50.8130081300813,4.850014017381553,50.816345601878325,24.5,33.17,83.8,176.6
2010-08-01,08/2010,15.22,69.62928493873119,6.553435706530168,59.47974392599658,37.45,35.31,100.6,188.3
2011-08-01,08/2011,12.84,83.75514188105696,7.5367775221362345,76.74914895616678,31.74,31.18,96.7,183.2
2012-08-01,08/2012,8.03,73.38709677419355,9.016129032258064,91.40322580645162,32.69,44.96,87.4,167.1
2013-08-01,08/2013,4.55,57.821187077385424,8.745304282494367,83.36930537531931,25.46,34.92,93.0,168.9
2014-08-01,08/2014,6.38,51.77230399519375,6.86392310003004,76.5395013517573,41.16,23.63,98.2,155.9
2015-08-01,08/2015,8.05,53.092737229553826,5.696864694568633,42.18511536044529,23.92,44.02,103.3,131.0
2016-08-01,08/2016,4.46,60.105244381020334,3.6099624778808423,41.15233678201927,34.8,30.01,103.4,125.3
2017-08-01,08/2017,6.54,83.4928432285932,4.638435827788599,43.50808842212246,34.4,43.55,111.5,126.2
2018-08-01,08/2018,23.2,101.60187029180015,7.00052813095506,63.321499696943455,26.29,45.65,110.8,121.1
2019-08-01,08/2019,27.37,58.91605248966385,3.3046693873898976,53.2536401222362,23.34,37.87,102.7,112.2
2020-08-01,08/2020,29.53,42.39093676022996,2.4195947554362527,37.41968211024687,26.18,41.94,89.4,96.6
2021-08-01,08/2021,61.07,144.0536867142372,13.104379832169554,59.48012232415902,38.44,35.2,117.1,99.4
2008-09-01,09/2008,22.35,104.39139814879253,10.334748416730461,68.94292637559329,139.46,7.07,88.9,208.8
2009-09-01,09/2009,13.36,46.44966350775992,4.896305452547727,46.481814436080214,75.68,6.21,86.3,170.0
2010-09-01,09/2010,15.41,72.62569832402235,6.336573046605953,59.52920959808678,115.03,4.3,101.7,179.6
2011-09-01,09/2011,10.66,89.38997821350763,7.879448075526507,80.52221562025417,68.98,10.51,94.3,177.7
2012-09-01,09/2012,7.93,69.19726197884256,8.618543870566272,88.19422837585562,98.6,6.59,86.3,165.4
2013-09-01,09/2013,5.02,58.1454150434522,8.428228948157027,83.62408493514384,101.93,4.96,95.7,169.4
2014-09-01,09/2014,5.82,51.11231687466088,7.162235485621269,75.45151538640415,82.35,5.47,97.3,152.0
2015-09-01,09/2015,8.13,51.376882630781566,5.595489404099456,42.099634613670794,97.96,9.04,104.4,131.3
2016-09-01,09/2016,4.96,64.85907955761684,3.7938050035230106,41.1969318587228,70.56,10.9,104.4,123.4
2017-09-01,09/2017,7.59,82.09819555182543,5.003063341997483,46.29458665547629,109.25,5.71,112.7,125.4
2018-09-01,09/2018,24.63,97.9157732224033,8.166718441727422,67.63873402521658,79.66,10.45,110.6,121.6
2019-09-01,09/2019,25.76,59.93275172664486,3.82157005174482,56.64303889494729,92.61,6.66,102.1,108.7
2020-09-01,09/2020,27.5,46.30257801899593,3.3515429635939618,34.845658073270016,81.08,10.18,94.5,95.8
2021-09-01,09/2021,62.16,157.76550552251487,19.405774067901444,63.38147833474935,94.14,6.3,118.1,99.3
2008-10-01,10/2008,17.94,81.06890857228645,11.95766401441225,54.678433189948954,222.34,0.04,82.8,203.1
2009-10-01,10/2009,14.54,47.96841252699784,5.129589632829373,49.402059198899835,255.87,0.37,88.5,177.0
2010-10-01,10/2010,14.63,70.11800259030076,5.964887034105627,59.66189037134839,271.06,0.18,101.8,184.6
2011-10-01,10/2011,10.12,87.10783598424048,8.332117320881366,79.86908757374142,223.38,0.7,93.4,177.1
2012-10-01,10/2012,8.23,63.08771388931709,8.92554339448127,86.30605692991367,232.69,0.49,85.2,167.5
2013-10-01,10/2013,4.8,58.24165749908324,8.33883388338834,80.29240605219655,199.35,0.33,95.7,158.7
2014-10-01,10/2014,6.34,50.27223230490018,7.709303243115284,68.86293695257633,193.38,0.67,98.0,150.1
2015-10-01,10/2015,8.63,48.29550511793502,5.3644484384512685,42.830440587449935,243.54,0.25,104.7,134.4
2016-10-01,10/2016,5.9,85.43442771630691,4.840213026890985,45.10248503537094,251.49,0.27,105.8,127.8
2017-10-01,10/2017,7.81,82.60462742429398,5.253760078717251,49.013269819666554,204.1,1.45,114.0,125.0
2018-10-01,10/2018,18.49,94.67955416231278,7.654964062817833,70.07140369209334,203.58,0.28,110.5,118.5
2019-10-01,10/2019,26.35,62.60743689496065,4.575425547697458,53.7139238215869,206.02,0.55,102.0,107.3
2020-10-01,10/2020,24.19,49.59660297239915,4.152518393341826,34.36942675159236,211.16,0.58,95.3,105.1
2021-10-01,10/2021,59.08,193.52642013619516,26.767060053047153,72.10585294371175,224.62,0.12,119.1,95.4
2008-11-01,11/2008,15.52,72.45523091423185,12.417530631479735,41.81668237511781,374.65,0.01,77.60000000000001,191.3
2009-11-01,11/2009,13.14,52.83626123105806,5.236690358052836,51.65392695901166,320.73,0.01,90.10000000000001,183.3
2010-11-01,11/2010,14.76,78.44228094575799,6.287973062001317,62.711368128248296,384.55,0.0,102.8,184.1
2011-11-01,11/2011,8.35,83.93331366184717,8.350545883741518,81.51673864642225,351.3,0.0,92.9,174.5
2012-11-01,11/2012,6.2,66.95509822263799,9.222014343623325,85.5252714233084,342.04,0.03,86.0,164.4
2013-11-01,11/2013,4.36,60.95753353590751,8.463647817386793,80.09796967034019,359.73,0.01,96.9,162.6
2014-11-01,11/2014,7.04,50.15234124438742,7.135984605516357,62.89288005131494,331.01,0.01,98.3,147.0
2015-11-01,11/2015,8.58,48.87295081967213,5.123727506734352,41.37481371087928,310.24,0.01,105.1,139.1
2016-11-01,11/2016,4.58,95.77738679507361,5.271950644643023,43.00398185017131,390.67,0.0,106.4,131.8
2017-11-01,11/2017,7.97,82.33089112284887,5.703355801516443,53.30550349292895,370.5,0.01,114.3,122.9
2018-11-01,11/2018,22.7,88.61616961379431,7.271117280645729,57.33262954165567,344.6,0.0,110.4,114.2
2019-11-01,11/2019,25.94,60.61894851144692,4.660215561768166,56.77314270201792,350.37,0.01,103.0,107.2
2020-11-01,11/2020,29.6,54.40108126372699,4.0850135201554325,36.51799290420679,319.68,0.02,92.0,102.4
2021-11-01,11/2021,75.73,137.9709129139653,24.201359740450325,70.76397406693535,371.23,0.01,116.9,95.1
2008-12-01,12/2008,15.45,58.48018440032717,11.525020447616923,30.917472742144398,486.88,0.0,71.3,189.1
2009-12-01,12/2009,12.31,56.863281784590114,5.48104557273847,51.09452952959491,524.97,0.0,92.3,179.3
2010-12-01,12/2010,14.02,89.47806354009077,6.611195158850227,69.43761099782904,612.55,0.0,103.2,180.3
2011-12-01,12/2011,6.97,84.64982168601563,8.74876697776766,81.87954140606267,437.65,0.0,91.0,170.8
2012-12-01,12/2012,6.45,70.79807912188429,8.986965469929109,83.60126534034606,546.63,0.0,86.5,159.1
2013-12-01,12/2013,4.83,61.54225043782837,8.428196147110333,80.76036193812025,460.5,0.0,97.7,154.8
2014-12-01,12/2014,7.25,50.636606925634574,7.971778444570594,50.54740085962209,475.55,0.0,98.5,153.1
2015-12-01,12/2015,8.22,48.00036774846006,4.68213936068769,34.678679783028414,400.73,0.0,105.2,130.3
2016-12-01,12/2016,6.54,83.60997818457744,5.144172837332827,51.28521293749407,480.94,0.0,107.7,130.0
2017-12-01,12/2017,8.6,85.17235552551539,6.031542424915512,54.24974653599188,475.51,0.0,115.3,121.7
2018-12-01,12/2018,27.06,89.04602951510893,7.006537579137386,49.59592410400562,468.82,0.0,109.1,117.7
2019-12-01,12/2019,25.18,59.55187618104923,4.15771817906056,59.254926662467376,423.51,0.0,103.6,106.4
2020-12-01,12/2020,32.94,68.22514379622021,4.811919717370583,40.977814297452746,438.59,0.0,96.7,101.1
2021-12-01,12/2021,80.65,150.0796178343949,33.64041033543878,65.73779193205945,496.65,0.0,115.4,96.9
